Line #;Data item name (in English);Data item name (in French);Description;Data Source;Version;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Gross Profit;Marge brute en valeur;"Gross Margin = Revenue (incl. shipping revenue if relevant)
-Product cost (aka Cost of Goods Sold - COGS)
-Inbound transportation costs
-Outbound transportations costs (DHL, FedEx, La Poste, etc.)
-Duties and Taxes
-Marketplace commission fees (fixed and variable fee)
-Shipping supplies
-Returns and refunds
-Generic costs

Gross Margin can be calculated in value (in €'s), % of revenue, or per ordered unit.";Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Gross Margin;Marge brute en taux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Gross Profit per unit;Marge brute par unité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Line #;Data item name (in English);Data item name (in French);Description;Data Source;Version;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Units in inventory;Nombre d'unités en stock;Number of items (ie ISBN's) held in stock at a given date.;Backend MCP server (based on Gestock);V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Gross Inventory value;Valeur brute du stock;Units in inventory x value per unit, where value is the product cost of each ISBN at the time it was added to our inventory;Backend MCP server (based on Gestock);V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Net Inventory value;Valeur nette du stock;Units in inventory x value per unit, where value of units held in stock beyond a certain time (eg. 24 months) is discounted by a predefined percentage. In our current accounting rules, all items that have been in stock for more than 24 months are discounted by 100%.;Backend MCP server (based on Gestock);V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Aged inventory;Stock âgé;"Distribution of inventory value based on how long items have been held in stock, with the following bands : 
0 to 3 months
3 to 6 months
6 to 12 months
12 to 24 months
24 months + ";Backend MCP server (based on Gestock);V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Unhealthy inventory units;Stock excédentaire;Inventory units that are considered unhealthy. Initially, we will consider that unhealthy units are units that were ordered from suppliers more than 6 months ago and have not sold a single units over this timeframe. In the future, we will fine tune this definition to also include units that are less than 6 months old but have more than XX weeks of sales coverage (WoCs) based on current demand trends.;Backend MCP server (based on Gestock);V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Accounts receivables;Créances clients;Amount of yet to be paid invoices according to the backend;Backend MCP server (based on Gestock);V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Past due;Créances clients échues;Amount of yet to be paid invoices that are beyond past due date;Backend MCP server (based on Gestock);V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
